"","Culinary Knowledge","Culinary Skills","Algeria","Argentina","Australia","Belgium","Herzegovina","Brazil","Cameroon","Chile","Colombia","Rica","Croatia","Ecuador","England","France","Germany","Ghana","Greece","Honduras","Iran","Italy","Coast","Japan","Mexico","Netherlands","Nigeria","Portugal","Russia","Korea","Spain","Switzerland","States","Uruguay","China","India","Thailand","Turkey","Cuba","Ethiopia","Vietnam","Ireland","Gender","Age","Household.Income","Education","Census Location"
"1153","Intermediate","Moderate",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","4",NA,"4",NA,NA,"4",NA,"4","3",NA,NA,NA,NA,NA,"4","3","3",NA,"4","4","4",NA,"4",NA,"4",NA,"Female","> 60","$100,000 - $149,999","Graduate degree","East South Central"
"1154","Intermediate","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"3",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,"4",NA,NA,NA,NA,NA,NA,"Female","30-44","","Graduate degree","South Atlantic"
"1156","Intermediate","High",NA,NA,NA,NA,NA,"5",NA,NA,"5","2",NA,"5",NA,"4","3",NA,"5","3","4","4",NA,"5","4",NA,NA,NA,NA,"4","5",NA,"4",NA,"4","5","5",NA,"4",NA,"4",NA,"Female","45-60","$50,000 - $99,999","Graduate degree","Pacific"
"1157","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","2",NA,NA,"3",NA,NA,"4",NA,"3","4",NA,NA,NA,NA,NA,NA,NA,"4",NA,"3",NA,NA,NA,NA,NA,NA,NA,"Female","> 60","$150,000+","Some college or Associate degree","Pacific"
"1158","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","3",NA,"3",NA,NA,"3",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"5",NA,"3",NA,"3",NA,NA,NA,NA,NA,"Female","> 60","$50,000 - $99,999","Bachelor degree","South Atlantic"
"1159","Intermediate","Moderate","3","3",NA,NA,NA,NA,NA,"3",NA,NA,NA,"3","3","4","3",NA,"4",NA,"3","4",NA,"3","3","3",NA,"3","3",NA,"4",NA,"4",NA,"3","3",NA,"3","3",NA,"3","4","Female","45-60","$25,000 - $49,999","Graduate degree","New England"
"1160","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","3",NA,"3",NA,NA,"4",NA,"3","4",NA,NA,"4",NA,NA,"4","4","4",NA,"3","2",NA,NA,NA,NA,NA,"3","Male","> 60","$50,000 - $99,999","Bachelor degree","West North Central"
"1161","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4",NA,NA,"3",NA,NA,"4",NA,"4","4",NA,"4",NA,NA,"3","3",NA,"5",NA,"4","3",NA,NA,"3","3",NA,NA,"Male","45-60","$50,000 - $99,999","Some college or Associate degree","West South Central"
"1162","Advanced","High",NA,"4","3",NA,NA,"3",NA,NA,NA,NA,NA,"3","3","3","4",NA,"4",NA,NA,"4",NA,"5","4","4",NA,"4","2",NA,"3","4","3",NA,"4","5","4",NA,"5",NA,"4","3","Female","30-44","$50,000 - $99,999","Bachelor degree","New England"
"1163","Novice","Low",NA,NA,"4",NA,NA,"3",NA,NA,NA,NA,NA,NA,"4","3","5",NA,"3",NA,NA,"5",NA,"3","4",NA,NA,NA,"2",NA,"4",NA,"5",NA,"4","1","3",NA,"3",NA,"3","3","Female","30-44","$100,000 - $149,999","Bachelor degree","West North Central"
"1164","Intermediate","High",NA,NA,NA,"4",NA,NA,NA,NA,NA,"4",NA,NA,"3","3","3",NA,"5",NA,NA,"5",NA,"5","5",NA,NA,NA,NA,NA,"5",NA,"5",NA,"5","3","5",NA,"4",NA,"3",NA,"Female","30-44","$100,000 - $149,999","Graduate degree","Middle Atlantic"
"1165","Intermediate","High",NA,NA,NA,NA,NA,"4","5","5","4","5",NA,NA,"4","4","4",NA,"5",NA,"5","5",NA,"4","5",NA,"5","3",NA,"5",NA,NA,"5",NA,"5","5","5","4","4","4","4",NA,"Female","45-60","$50,000 - $99,999","Graduate degree","West South Central"
"1166","Intermediate","Moderate",NA,NA,NA,NA,NA,"4",NA,"4",NA,NA,NA,NA,"3","4","4",NA,"4",NA,NA,"4",NA,"4","5",NA,"4","4",NA,NA,"5","3","4",NA,"4","5","5","4","4","3","4","2","Male","> 60","$150,000+","Graduate degree","East North Central"
"1167","Advanced","High",NA,"4",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"2","5","3",NA,"5",NA,NA,"5",NA,"2","4","2",NA,"4","3","4","4","4","5",NA,"5","5","5","4","5","3","5","3","Female","45-60","","Graduate degree","East North Central"
"1168","Intermediate","Moderate",NA,"4",NA,NA,NA,"3",NA,NA,"4","3","3",NA,"2","3","2",NA,"4","4",NA,"5",NA,NA,"5",NA,NA,NA,"4","3","4",NA,"3",NA,"2","2","2","5","4",NA,NA,"3","Female","30-44","$50,000 - $99,999","Graduate degree","East North Central"
"1169","Novice","Moderate",NA,"3","3","3",NA,NA,NA,NA,"3",NA,NA,NA,"3","3","3",NA,"3",NA,NA,"4",NA,"3","4","3",NA,NA,NA,NA,"3",NA,"4",NA,"2","2",NA,NA,"3",NA,"3","3","Female","> 60","$50,000 - $99,999","Some college or Associate degree","West South Central"
"1170","Expert","High",NA,"5","4","5",NA,"4",NA,"5","4","4",NA,"3","4","4","4",NA,"5","3",NA,"5","3","4","3","4","2","5",NA,"3","5","5","4","3","3","4","3","3","5","3","3","2","Female","> 60","","Graduate degree","Mountain"
"1171","Intermediate","Moderate",NA,"3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","4",NA,"4",NA,NA,"5",NA,"3","3",NA,NA,NA,"3",NA,"3",NA,"3",NA,"3","3","3","3",NA,NA,NA,NA,"Male","> 60","$50,000 - $99,999","Bachelor degree","East North Central"
"1172","Intermediate","High",NA,NA,NA,NA,"2","2",NA,NA,NA,NA,NA,NA,"2","4","3",NA,"3",NA,NA,"5",NA,"3","4",NA,NA,"3","3",NA,"4","3","5",NA,"3","3",NA,NA,"3","2","3","2","Female","> 60","$25,000 - $49,999","High school degree","West North Central"
"1173","Intermediate","High",NA,"4","3","3",NA,NA,NA,"4","4","4",NA,"4","5","4","4",NA,"5","5",NA,"5",NA,"5","4","3","3","4","4","4","4","3","2",NA,"4","5","5","4","3","4","5","3","Female","30-44","$50,000 - $99,999","Graduate degree","West South Central"
"1174","Novice","Moderate","4","5","4","4",NA,"5",NA,"4","4","4",NA,"4","5","5","5","4","5","4","4","5","4","5","5","4","4","5","4","5","5","4","5","4","5","5","5","4","5","4","5","4","Female","> 60","$150,000+","Some college or Associate degree","West South Central"
"1175","Intermediate","High",NA,"4",NA,NA,NA,NA,NA,NA,"3",NA,NA,"4","3","5","3","4","5",NA,NA,"5",NA,"5","5",NA,NA,NA,"2","4","5",NA,"5",NA,"4","5","5",NA,"4",NA,"4","3","Female","30-44","$25,000 - $49,999","Graduate degree","Mountain"
"1176","Intermediate","Moderate",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","3","5",NA,"5",NA,NA,"5",NA,"2","4",NA,NA,NA,NA,NA,"3",NA,"4",NA,"4","3",NA,NA,"3",NA,NA,"4","Female","45-60","","Bachelor degree","East South Central"
"1177","Intermediate","Moderate",NA,"3",NA,"4",NA,"3",NA,NA,NA,NA,NA,NA,"2","5","4",NA,"4",NA,NA,"4",NA,NA,"4",NA,NA,NA,NA,NA,NA,"4","4",NA,"4","3","3","3",NA,NA,"3","3","","","","",""
"1178","Advanced","Moderate","2",NA,"3","2",NA,"3",NA,NA,"2","3",NA,NA,"3","4","3",NA,"5",NA,NA,"4",NA,"4","3",NA,NA,NA,"3","2","2",NA,"4",NA,"3","3","4",NA,"4",NA,"2","4","Female","30-44","$150,000+","Some college or Associate degree","South Atlantic"
"1179","Novice","Moderate",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","3",NA,NA,NA,NA,"5",NA,"3","3","3",NA,NA,NA,NA,"3",NA,"3",NA,"4",NA,"3",NA,NA,NA,NA,NA,"Female","> 60","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
"1180","Novice","Low",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","3","5",NA,"3",NA,NA,"3",NA,"3","3",NA,NA,NA,NA,NA,NA,NA,"3",NA,"3",NA,"3",NA,"3",NA,NA,"3","Female","45-60","$0 - $24,999","Less than high school degree","West South Central"
"1181","Intermediate","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"4",NA,"3","3",NA,NA,NA,NA,NA,NA,NA,"4",NA,"4",NA,NA,NA,NA,NA,NA,NA,"Male","> 60","","Graduate degree","Pacific"
"1182","Novice","High","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"4",NA,NA,NA,NA,NA,NA,"3",NA,"4",NA,"4",NA,"4",NA,NA,NA,NA,NA,"","","","",""
"1183","Intermediate","Moderate",NA,"5",NA,NA,NA,"3",NA,NA,"4","3",NA,NA,"4","5","4",NA,"4",NA,NA,"5",NA,"4","4",NA,NA,NA,"3",NA,"4",NA,"5","5","4","5","4",NA,"4",NA,"5",NA,"Male","45-60","","Graduate degree","West South Central"
"1184","Intermediate","Moderate",NA,"3","4","4",NA,NA,NA,NA,NA,NA,NA,NA,"4","3","4",NA,"5",NA,NA,"4",NA,"4","4","4",NA,"3","3",NA,"4","5","4",NA,"4","2","3","3","3",NA,NA,"3","Female","> 60","","Bachelor degree","Mountain"
"1185","Intermediate","High","3","3","3","3","3","3","3","3","3","3","3","3","2","4","3","3","4","3","3","4",NA,"3","4","3","3","4",NA,"3","3","3","4","3","3",NA,"3","3","4",NA,"4","2","Male","> 60","$25,000 - $49,999","Some college or Associate degree","Mountain"
"1186","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","3",NA,"3",NA,NA,"5",NA,"3","3",NA,NA,NA,NA,NA,NA,"3","4",NA,"4","3","3",NA,"3",NA,NA,"3","Female","30-44","$50,000 - $99,999","Some college or Associate degree","Pacific"
"1187","Intermediate","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"3","3","3",NA,"4",NA,NA,"5",NA,"5","5",NA,NA,NA,NA,NA,NA,NA,"4",NA,"2","4","5",NA,"3",NA,"5","4","Female","18-29","$25,000 - $49,999","Some college or Associate degree","New England"
"1189","Intermediate","Moderate",NA,NA,NA,NA,NA,"3",NA,"4","3",NA,NA,NA,NA,NA,NA,"1","5",NA,NA,"4",NA,NA,"4",NA,NA,NA,NA,"3",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"Female","18-29","$0 - $24,999","Some college or Associate degree","East North Central"
"1190","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"4",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"4","4",NA,NA,NA,NA,NA,"Female","30-44","$50,000 - $99,999","Some college or Associate degree","Mountain"
"1191","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","5",NA,"5",NA,NA,"5",NA,"5","4",NA,NA,NA,"4",NA,NA,"4","5",NA,"5","3",NA,NA,"3",NA,NA,"4","Female","> 60","$150,000+","Some college or Associate degree","Middle Atlantic"
"1192","Novice","Low","2","3","4","3","2","3","2","3","3","3","2","2","4","3","3","2","3","3","2","3","2","3","3","2","2","3","3","1","3","3","4","2","3","1","1","2","3","2","2","2","Male","> 60","$25,000 - $49,999","Some college or Associate degree","East North Central"
"1193","Novice","High","4","4","3",NA,NA,"4",NA,"4","4","4",NA,"4","2","4",NA,"4","4","4","4","3",NA,"4","4",NA,NA,NA,NA,NA,NA,NA,"3","4",NA,"4","4","4","4","4","4",NA,"Female","18-29","$0 - $24,999","Bachelor degree","Mountain"
"1194","Novice","Low",NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"2","5","4",NA,"4",NA,NA,"4",NA,NA,"4","3",NA,NA,NA,NA,"4","4","4",NA,"4","3","3",NA,"3",NA,"3","3","Male","> 60","$150,000+","Graduate degree","Mountain"
"1195","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male","> 60","$25,000 - $49,999","Graduate degree","East North Central"
"1196","Intermediate","Moderate",NA,NA,"3",NA,NA,NA,NA,"3",NA,NA,NA,NA,"3","3","4",NA,"4",NA,NA,"5",NA,"3","5","5",NA,NA,"3","4","5","5","5",NA,"5",NA,NA,NA,"3",NA,NA,"4","Female","45-60","$25,000 - $49,999","Some college or Associate degree","Pacific"
"1197","Advanced","High","5","4","2","2",NA,"3",NA,"3","3","4",NA,"4","3","5","2",NA,"5",NA,"4","5",NA,"5","4",NA,NA,"4","4","4","5",NA,"3",NA,"5","5","5",NA,"4","4","5","4","Female","45-60","$25,000 - $49,999","Bachelor degree","South Atlantic"
"1198","Intermediate","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3",NA,NA,"4",NA,NA,"4",NA,"4","4",NA,NA,NA,NA,NA,"5",NA,"5",NA,"4","3",NA,NA,NA,NA,NA,NA,"Female","30-44","$50,000 - $99,999","Graduate degree","West South Central"
"1199","Intermediate","Moderate",NA,NA,NA,NA,NA,NA,NA,"3",NA,"3",NA,"3","2","3",NA,NA,"2","3","2","4",NA,"2","4",NA,NA,NA,"2","3","4",NA,"4",NA,"3","2","1",NA,"3",NA,"1","2","Female","18-29","$150,000+","Some college or Associate degree","Middle Atlantic"
"1200","Novice","Low",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"2",NA,NA,NA,NA,"4",NA,"2","4",NA,NA,NA,NA,NA,NA,NA,"4",NA,"1","1","1",NA,NA,NA,"1",NA,"Male","45-60","","Bachelor degree","South Atlantic"
"1201","Intermediate","Moderate","2","3","3",NA,NA,"3",NA,"4",NA,NA,NA,NA,"2","4","4",NA,"4",NA,NA,"5",NA,"3","5",NA,NA,"4","4","4","5",NA,"5","3","4","4","4",NA,"3","2","3","4","Male","> 60","","Bachelor degree","Middle Atlantic"
"1202","Intermediate","Moderate",NA,"3","2",NA,NA,"4",NA,"3",NA,"4",NA,"4","2","4","3",NA,"4","3",NA,"5",NA,"4","5","3",NA,NA,"2",NA,"3","2","3",NA,"4","5","5",NA,"4","4","4",NA,"Male","45-60","$25,000 - $49,999","Bachelor degree","Mountain"
"1203","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,"2",NA,NA,"4","3",NA,NA,NA,"2",NA,"3",NA,NA,NA,NA,NA,NA,"3","Female","18-29","","Some college or Associate degree","Middle Atlantic"
"1205","Novice","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3",NA,NA,"2","2",NA,"4",NA,"3","3",NA,NA,NA,NA,NA,NA,NA,"3",NA,"3","1",NA,NA,NA,NA,NA,"3","Male","30-44","$100,000 - $149,999","Some college or Associate degree","West South Central"
"1207","Novice","High",NA,NA,"4",NA,NA,"4",NA,"4","3","3",NA,NA,"2","5","2",NA,"4",NA,NA,"5",NA,"3","3","4",NA,NA,NA,NA,"4",NA,"5",NA,"3","3",NA,NA,"4","3","2",NA,"Female","18-29","","Some college or Associate degree","West South Central"
"1208","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4",NA,"3",NA,NA,"4",NA,"4","4",NA,NA,NA,NA,NA,NA,NA,"4",NA,"5","3",NA,NA,NA,NA,"3","3","Male","30-44","$25,000 - $49,999","Bachelor degree","West South Central"
"1209","Intermediate","High",NA,"4","3","4",NA,"4",NA,"4","3","3",NA,NA,"3","5","4",NA,"5",NA,NA,"5",NA,"4","5","3",NA,"3",NA,"4","4","4","4",NA,"4","3","4","3","3",NA,"3","3","Female","45-60","","Bachelor degree","East North Central"
"1210","Intermediate","Moderate",NA,"3",NA,"3",NA,"3",NA,NA,NA,NA,NA,NA,"3","3","3",NA,"3",NA,NA,"4",NA,"4","3",NA,NA,"3",NA,"3","3","3","4",NA,"4","2","3",NA,"3",NA,"3","3","Male","> 60","$150,000+","Bachelor degree","Middle Atlantic"
"1212","Novice","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","2",NA,"5",NA,NA,"5",NA,"5","5",NA,NA,NA,NA,"3","5",NA,"4",NA,"4","2","4",NA,"4",NA,"3","3","Female","45-60","","Some college or Associate degree","West South Central"
"1213","Advanced","High",NA,"4",NA,"3",NA,"4",NA,NA,NA,"3",NA,NA,"4","5","3",NA,"4","3",NA,"4",NA,"5","3","3",NA,NA,"3","4","4",NA,"3",NA,"4","5","4",NA,"4",NA,"4","3","Male","> 60","$150,000+","Graduate degree","West South Central"
"1214","Intermediate","High",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"3","5","4",NA,"4",NA,"4","5",NA,"5","5",NA,NA,NA,"4",NA,"5","3","5",NA,"5","5","4","4","4",NA,"4","3","Female","30-44","$150,000+","Bachelor degree","Pacific"
"1215","Intermediate","Moderate",NA,"4","3",NA,NA,"5",NA,"3","3",NA,NA,"3","2","3","4",NA,"4",NA,"3","4",NA,"4","3","3",NA,"4","3","2","3","3","4",NA,"4","4","4","3","5","2","2","3","Female","30-44","$150,000+","Bachelor degree","West South Central"
"1216","Intermediate","Moderate",NA,"4","3","4",NA,"4",NA,"4","3","4",NA,NA,"3","4","4",NA,"5","3",NA,"5",NA,"4","4","4",NA,NA,"4","3","4","4","3",NA,"3",NA,"3","4",NA,NA,"4","3","Female","> 60","$100,000 - $149,999","Bachelor degree","Mountain"
"1217","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","3",NA,NA,NA,NA,"5",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,"4",NA,"3","3",NA,NA,NA,"4",NA,NA,"Female","18-29","$50,000 - $99,999","Bachelor degree","West North Central"
"1218","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","3",NA,"4",NA,NA,"4",NA,"4","5",NA,NA,NA,NA,NA,NA,NA,"5",NA,"4","3",NA,NA,NA,NA,NA,"3","Female","> 60","","Bachelor degree","Pacific"
"1219","Intermediate","Moderate","4","4","3","3","4","4",NA,"4","4","4","4","4","3","4","4",NA,"4","4","3","4",NA,"2","4","3",NA,"4",NA,"2","4","3","3","4","3","5","3","4","4","3",NA,"3","Female","> 60","$50,000 - $99,999","Graduate degree","West South Central"
"1220","Advanced","High",NA,"4",NA,NA,NA,"4",NA,"4","4","5",NA,"4","2","4","2","4","4","4",NA,"5","4","5","5",NA,NA,NA,"2","4","5",NA,"5","4","4","5","4",NA,"4","4",NA,"2","Female","18-29","","Graduate degree","Pacific"
"1221","Intermediate","Low","4","3","3","4","4","3","3","3","3","3","3","3","3","4","3","3","5","3","3","4","3","4","3","4","3","3","4","3","4","4","5","3","4","3","4","4","3","3","4","4","Female","30-44","","Bachelor degree","New England"
"1222","Intermediate","Moderate",NA,"4","3",NA,NA,"4",NA,"3","4",NA,NA,"4","3","4","3",NA,"3",NA,NA,"5","4","5","5","3",NA,"3","4","5","5","4","3",NA,"5","5","5",NA,"5","4","5","3","Male","30-44","$0 - $24,999","Bachelor degree","Pacific"
"1223","Intermediate","High",NA,NA,NA,"3",NA,NA,NA,NA,NA,"3",NA,NA,"2","3","3",NA,NA,NA,NA,"4",NA,"4","4","3",NA,NA,NA,"4","4",NA,"3",NA,"4","4","4",NA,"3",NA,"4",NA,"Female","> 60","","Graduate degree","Mountain"
"1225","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"2",NA,"4",NA,NA,"4",NA,"3",NA,"3",NA,NA,NA,NA,NA,NA,"2",NA,NA,"3",NA,NA,NA,NA,NA,NA,"Female","18-29","$25,000 - $49,999","Some college or Associate degree","East South Central"
"1226","Intermediate","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3",NA,"3",NA,NA,"3",NA,NA,"5",NA,NA,NA,NA,NA,"3",NA,"5",NA,"4","3","3",NA,"3",NA,NA,NA,"Male","> 60","","Some college or Associate degree","East North Central"
"1227","Novice","Moderate",NA,"2",NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"2","4","3",NA,"4",NA,NA,"4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",""
"1229","Intermediate","High",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","2",NA,"3",NA,NA,"4",NA,"4","3",NA,NA,NA,"2","3","3",NA,"3",NA,"3","4","4",NA,"4",NA,"3","2","Female","30-44","$25,000 - $49,999","Bachelor degree","Mountain"
"1230","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,"5","4",NA,NA,NA,NA,NA,NA,NA,"4",NA,"3","2",NA,NA,NA,NA,NA,NA,"Female","18-29","$25,000 - $49,999","Bachelor degree","Mountain"
"1231","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","3",NA,NA,NA,NA,NA,"4",NA,"5","2",NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,"2",NA,NA,NA,NA,NA,"Male","> 60","","Some college or Associate degree","East North Central"
"1232","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","3",NA,NA,NA,NA,"3",NA,NA,"4",NA,NA,NA,NA,NA,"3",NA,"4",NA,"3",NA,NA,NA,NA,NA,NA,NA,"Male","45-60","$100,000 - $149,999","Some college or Associate degree","Mountain"
"1233","Novice","Moderate",NA,NA,"4","4","4",NA,NA,NA,NA,NA,"3",NA,NA,NA,"2",NA,"4",NA,NA,"4",NA,NA,"5","4",NA,NA,"4",NA,NA,NA,"5",NA,"3",NA,"3",NA,NA,NA,NA,NA,"Male","> 60","","Some college or Associate degree","West North Central"
"1234","Intermediate","High",NA,"3","3","3",NA,"3",NA,NA,"3",NA,NA,"3","4","5","5",NA,"5",NA,"3","5",NA,"4","5","3","3","3",NA,"3","3",NA,"5",NA,"4","4","5","3","4","4","4","4","Female","> 60","$150,000+","Graduate degree","Middle Atlantic"
"1235","Intermediate","Low",NA,NA,"3",NA,NA,"3",NA,"3","4","3",NA,NA,"3","2","3",NA,"4",NA,"2","4",NA,"3","4",NA,NA,NA,NA,"2","4",NA,"4",NA,"3","4","2",NA,"4",NA,"2","4","Female","30-44","$100,000 - $149,999","Bachelor degree","South Atlantic"
"1236","Intermediate","High",NA,"3","3","3",NA,"3",NA,"3","3",NA,NA,NA,"3","3","3",NA,"4",NA,"3","4",NA,"3","4",NA,NA,"4",NA,NA,"4","3","4",NA,"3","4","3",NA,"3",NA,NA,"3","Female","30-44","$100,000 - $149,999","Some college or Associate degree","West South Central"
"1237","Intermediate","High",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"3","5","4",NA,"5",NA,NA,"5",NA,"4","5","3",NA,NA,"3","3",NA,NA,"4",NA,"4","5","4","4","4",NA,NA,"3","Female","18-29","$50,000 - $99,999","Bachelor degree","Pacific"
"1238","Advanced","High",NA,"3","3",NA,NA,"4",NA,"4","4","4",NA,"3","3","3","4",NA,"5","4",NA,"5",NA,"4","5",NA,"3","3","3","3","4","3","4",NA,"5","4","5","3","3","4","5","3","","","","",""
"1239","Novice","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","> 60","$25,000 - $49,999","Bachelor degree","East North Central"
"1240","Intermediate","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","4",NA,"5",NA,NA,"5",NA,"4","5",NA,NA,NA,NA,"4",NA,NA,"4",NA,"4","3","5",NA,"5",NA,"5","3","Female","45-60","","Bachelor degree","Pacific"
"1241","Advanced","High",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"3","2","2",NA,"4",NA,NA,"4",NA,"5","4",NA,NA,"3",NA,"4","3","4","3",NA,"4","5","5","4","3","4",NA,"2","Female","18-29","","Some college or Associate degree","Middle Atlantic"
"1242","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","5",NA,"3",NA,NA,"5",NA,"4","3",NA,NA,NA,NA,"2","4",NA,"5",NA,"3","2",NA,NA,"3",NA,"2","3","Female","> 60","","Some college or Associate degree","Mountain"
"1243","Novice","Moderate",NA,NA,"3","3",NA,"4",NA,NA,NA,"3",NA,NA,"3","5",NA,NA,"3",NA,NA,"5",NA,"4","3",NA,NA,NA,NA,NA,"4","3","4",NA,"3","3","3",NA,NA,NA,NA,NA,"","","","",""
"1244","Advanced","High",NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,"5",NA,"3","5","3",NA,"5",NA,NA,"5",NA,"5","5",NA,NA,NA,"2","4",NA,"3","4",NA,NA,"5","4",NA,"4","2","4","3","Female","> 60","$50,000 - $99,999","Graduate degree","West North Central"
"1245","Intermediate","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","2",NA,"2",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","3","3",NA,NA,NA,NA,NA,NA,"2","Female","> 60","$100,000 - $149,999","Bachelor degree","Middle Atlantic"
"1246","Intermediate","Moderate",NA,"3","3",NA,NA,NA,NA,"3","3",NA,NA,NA,"3","4","4",NA,"4",NA,NA,"5",NA,"4","4",NA,NA,NA,NA,NA,"4","3","5",NA,"3","3","3",NA,"3",NA,"2","3","Female","45-60","$50,000 - $99,999","High school degree","Pacific"
"1247","Intermediate","Moderate","4",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,"2","4","3",NA,"4",NA,"4","4",NA,"5","4",NA,NA,"4","3",NA,"3",NA,"3",NA,"4","5","5",NA,"3","3","4","2","Female","> 60","$150,000+","Bachelor degree","Pacific"
"1248","Intermediate","High",NA,"3",NA,"3","3","4",NA,"3","4","3","3","4","3","3","4",NA,"3","4",NA,"4",NA,"4","4",NA,NA,"3","4","4","3","3","3","4","3","4","4",NA,"4",NA,"4",NA,"Male","45-60","$25,000 - $49,999","Bachelor degree","Pacific"
"1249","Novice","Moderate",NA,"3",NA,"4",NA,"3",NA,"3",NA,"4",NA,NA,"4","3","4","3","3","3",NA,"5",NA,"4","4","4",NA,NA,"3",NA,"3","4","4",NA,"4","3",NA,NA,"3",NA,NA,"5","Female","> 60","$0 - $24,999","Graduate degree","East North Central"
"1250","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","4",NA,NA,NA,NA,"4",NA,NA,"3",NA,NA,NA,NA,NA,NA,"4","4",NA,"4",NA,NA,NA,NA,NA,NA,NA,"Female","> 60","$25,000 - $49,999","Graduate degree","East North Central"
